black		Everything was just peachy. Except, of course, for the undeniable fact that every single morning my mother would make me ___ for breakfast.
black		I swore that someday I would get out of that basement and travel to a magical, far away place. Where the sun is always shining and the air smells like ___. And ___ are oh so fluffy. Where the shriners and the lepers play their ukuleles all day long. And anyone on the street will gladly shave your back for a nickel!
	REPEAT?	the sun
black		So I go over and I open the door and just as I suspected. It’s ___. Oh man, I hate it when I’m right.
black		This is like some shit out of Ann Frank’s diary. Just ___.
black		If I had___, you’d be dead!
black		There’s no such thing as an emergency water landing. Its called ___.
	REPEAT?	no such thing
	REPEAT?	water
black		These are real people out there, with ___.
black		Minecraft is based on the medieval land of ___ .
black		Sounds like you’re not strong enough for ___.
white	n	the world famous Albuquerque Holiday Inn
white	nc	warm root beer
white	np	guest towels
white	vt	hiding
	REPEAT?	hiding some pee
	REPEAT?	hiding the elderly
	REPEAT?	hiding under the bed
white	n	a big bowl of sauerkraut
white	np	some big fat hermaphrodite with a Flock-Of-Seagulls haircut and only one nostril
white	nc	two large Albanian women with excruciatingly severe body odor
white	v	this box of one dozen starving, crazed weasels
white	v	my tenor saxophone and my twelve-pound bowling ball and my lucky, lucky autographed glow-in-the-dark snorkel
white	n	the kind of shit white people pay for
white	np	humans stacked like Lincoln Logs
white	n	the call of the wild
white	np	50 lockpicks in my ass
	REPEAT?	ass
white	nc	Queen England and Samurai Joseph
white	nc	made out of chiseled steel
white	nc	smegma in a bottle
white	nc	cold cut jerky
white	np	real hopes, real dream and real failures
	REPEAT?	failure
white	v	knocking the back end of your ass out
	REPEAT?	ass
white	nc	white guilt
white	v	crashing into the fucking ocean
black		Growing up we had to deal with _, and we never had _, and I want the opposite for my children.
white		_{Un} travelled over 20 feet after _{v}.
white	n	a fool with a madman’s dream
white	np	underwater spiders
	REPEAT?	spiders
	REPEAT?	water
black		Thank you for saving me, hero. Please take _{n} as a reward.
black		Watch me _{v}. Now watch me _{v}.
white	nc	no touching and no sex
white	n	an email
white	np	pictures of my body
white	n	a secret
	REPEAT?	a secret room
	REPEAT?	a secret exit
	REPEAT?	a Secret Service agent
white	nc	honey
	REPEAT?	money
	REPEAT?	fly honeys
	REPEAT?	pure honey
	REPEAT?	a honey bee’s brain
black		I’m building something that’s gonna solve all of our problems: _{n}.
white	np	dazed people
white	n	a hurtling space rock
white	vt	stopping
	REPEAT?	stripping
white	v	being picked
white	np	whiny white people
white	np	street toughs
white	n	a barrier
white	n	Iron Maiden’s 747
white	np	strong thighs
white	v	peeing in a cup
white	n	your blessed little heart
white	n	my sexy fox costume
white	nc	wetness
white	np	twigs and bugs
white	np	insane shoes
white	n	the key to my heart
white	n	a cowering dog
white	n	a tight-butt white dude
white	n	a teeny tiny baby
white	v	sitting in the bathtub
white	v	peeling the dog
white	nc	my butt surgery
white	nc	hot, sweaty, wall-slamming sex
black		In John Carpenter’s new film, “Escape from __”, Snake Plissken is given 24 hours to find ____, which has been captured by ___.
black		I wish things could be settled without resorting to ___.
white	np	The President of the United States (Donald Pleasence)
white	v	smashing her in the butt
white	v	tugging her tits
white	nc	ultraviolence
white	nc	high-impact sexual violence
white	nc	beyond polite conversation
white	nc	“male nudity”
	REPEAT?	nudity
white	np	material which may not be suitable for pre-teenagers
white	nc	coarse or crude language
white	np	sexual situations
white	nc	fantasy violence
white	v	running a lawnmower over a dead cat
	REPEAT?	a dead cat
white	v	falling in a hole
white	n	a genetically enhanced super-turkey
white		full service barbecue
black		Due to the economic crisis, _ is finally economically viable.
black	1	I don’t believe _{n} exists. Do you believe _{n} exists?
white	nc	mental anorexia
	REPEAT?	anorexia
white	n	a big black man
white	n	raging, horny, pussy sluts
white	n	a filthy anal pirate
white	np	ten million pounds of sludge from New York and New Jersey
white	v	pulling away from a kiss
white	n	a hideous triumph of form and function
white	v	killing the Batman
	REPEAT?	killing
white	np	toxins
	REPEAT?	potent neurotoxins
white	nc	gravity, or the devil’s hold on our physical bodies
white	v	realizing I’m a douche
white	n	a little lump of pure sadness
white	np	bloody scissors
white	n	a trembling hand
white	n	a ceremonial ribbon
white	v	screaming again
	REPEAT?	screaming
white	np	spiders again
	REPEAT?	spiders
white	nc	more dishonesty
white	v	wishing harder
white	n	a hiccough
white	np	markings on my neck
white	n	a magical key
white	nc	logic
	REPEAT?	tweaker logic
	REPEAT?	circular logic
	REPEAT?	bellybutton logic
white	vnp	rolling eyes
	REPEAT?	rolling
white	np	spike traps
white	n	a kill
white	np	a woman’s ankles
white	np	last minute changes
white	nc	machismo
white	n	a Powerpoint presentation
white	n	a wave of babies
white	v	dropping the mic
white	n	the remote control
white	n	the girl locked in that tower
white	n	a butt-warmer
white	np	harsh chemicals
white	n	a carpet beetle
white	n	a thick lesbian
white	np	giant meaty hands
white	n	a 16-lane highway
white	np	deals
white	n	a hummer
white	nc	bait
white	v	Watching your sister bang
white	v	watching your sister bang
	REPEAT?	Watching your sister bang
	REPEAT?	Watching your sister bang
white	n	the community buttplug
white	n	grandpa’s peakless jawbone
white	v	getting all fucked up on PCP
white	v	gnawing through solid stone
white	nc	Queef Latina
white	vtnc	drinking and driving
white	v	refusing to tell
white	n	a really bad cold
white	n	my neck hole
white	nc	hot sex
	REPEAT?	hot wax
white	n	a clamp
	REPEAT?	a lap
white	n	my orientation
white	np	dorks
white	v	going to Wendy’s
white	n	a disease
white	n	a time machine
white	vt	cutting
	REPEAT?	self-cutting
	REPEAT?	cutting a hole in my pants
	REPEAT?	cutting it off with a surgical rotary saw
white	v	pitching your tent
black		Is this your first time _{v}? You should practice more.
white	np	awkward sexual advances
white	np	unsolicited opinions on Israel
white	n	a group of gay white-supremacists called “Aryan Thrust”
white	n	the new “Moral America”
white	n	a plan to revert the world to a prehistoric-like state
white	v	when you’re watching hentai but the plot is so good you forget to masturbate
white	np	handcrafted potato chips
white	nc	hateful free-form jazz
white	np	Social Justice Warriors
white	np	the horrors brought on by Social Justice Warriors
	REPEAT?	Social Justice Warriors
black		today at school the teacher asked us “what we want to be when we grow up?”  I responded: ___!!!
white		10,000 pinches
white	nc	meatball marinara
white	n	the biggest number
white	np	allergies
white	np	my fingernails
white	n	an extremely painful sneeze
white	v	taking it easy
white	nc	Metal Gear
white	nc	Outer Heaven
white	np	the Milwaukee suburbs
white	np	High-Tech Special Forces Unit FOXHOUND
white		___ is an elite black ops unit of the United States Army that was established by ___.
white	v	screwing with pants on
white	n	this brainwashed wide-eyed white knight
white	v	murdering everyone who is different from you
white	v	trying to handcuff a ghost
white	v	rustic-looking shit that hipsters care about
black		I’d like to wear _{s} but it takes all day to put on.
white	n	a machine that changes nothing
white	n	a plan that changes nothing
	REPEAT?	a machine that changes nothing
black		Things were getting out of hand. I only managed to stop a split second before entering _{n}.
white	np	big dudes with big dudes
	REPEAT?	dudes
white	n	NORTH KOREA
	REPEAT?	In North Korea, instead of streetlights, they have traffic ladies that stand in _{n} in the middle of each intersection.
	REPEAT?	In North Korea, instead of streetlights, they have traffic directors that stand in _{n} in the middle of each intersection.
